MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,3750000,3750000,7500000,50
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,4440500,2607912.7,7048412.7,63
IT,Italy,2014IT05M2OP002,4,Governance and Institutional Capacity - IT - ESF/ERDF,ESF,1,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,254366715,63591679,317958394,80
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,426438367,142146122.32,568584489.32,75
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5C,Renewable energy,493000,158666.67,651666.67,75.65
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,16900000,16900000,33800000,50
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5C,Renewable energy,3894000,2286952.38,6180952.38,63
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,235000,235000,470000,50
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,6500000,6500000,13000000,50
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,1050000,1050000,2100000,50
IT,Italy,2014IT05M2OP002,4,Governance and Institutional Capacity - IT - ESF/ERDF,ESF,4,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,918000,918000,1836000,50
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,3750000,3750000,7500000,50
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,5650000,5650000,11300000,50
