MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,9399438,25413295.33,34812733.33,27
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5A,Water efficiency,4984027.19,1246006.8,6230033.99,80
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,21056662.86,18451506.05,39508168.91,53.3
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M08,Forest,FA_2A,Farm performance,117072,316528,433600,27
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5E,Carbon conservation / sequestration,12195,32971.67,45166.67,27
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,243902,659438.74,903340.74,27
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,387750,343853.77,731603.77,53
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,2273171,960072.7,3233243.7,70.31
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,16585366,44841915.48,61427281.48,27
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,9073171,24531166.04,33604337.04,27
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,XIII,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,112338789,112338789,224677578,50
UK,United Kingdom,2014UK06RDRP002,5.2,Northern Ireland - Rural Development,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,292683,791328.11,1084011.11,27
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,IX,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,340210507,340210507,680421014,50
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,XII,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,11000000,11000000,22000000,50
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ESF,XI,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,30000000,30000000,60000000,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,18982959,6327653,25310612,75
IT,Italy,2014IT16RFOP011,3.2,Liguria - ERDF,ERDF,6,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",More developed,VOID,VOID,VOID,VOID,8500000,8500000,17000000,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M15,Forest-environment,FA_P4,Priority 4,462500,154166.67,616666.67,75
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,V,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Less developed,VOID,VOID,VOID,VOID,163407429,163407429,326814858,50
FR,France,2014FR16M2OP012,2.2,Mayotte - ERDF/ESF,ESF,11,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,2326113,410491,2736604,85
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,2874562,2549139.89,5423701.89,53
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,XII,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Less developed,VOID,VOID,VOID,VOID,3000000,3000000,6000000,50
ES,Spain,2014ES06RDRP002,5.2,Aragón  - Rural Development blabla from pipo,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,4884586.5,1628195.5,6512782,75
IT,Italy,2014IT16RFOP011,3.2,Liguria - ERDF,ERDF,6,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,9000000,9000000,18000000,50
IT,Italy,2014IT16M2OP002,4,Puglia  - ERDF/ESF,ERDF,XII,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,18500000,18500000,37000000,50
FR,France,2014FR05SFOP004,2.1,Martinique - ESF,ESF,4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,4706274,1568758,6275032,75
IT,Italy,2014IT05SFOP005,2,Lazio  - ESF,ESF,3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,153250000,153250000,306500000,50
HU,Hungary,2014HU05M2OP001,4,Human Resources Development - HU - ESF/ERDF,ESF,3.,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,806776930,142372400,949149330,85
IT,Italy,2014IT05SFOP005,2,Lazio  - ESF,ESF,4,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,7640000,7640000,15280000,50
FR,France,2014FR05SFOP004,2.1,Martinique - ESF,ESF,1,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,34500000,11500000,46000000,75
FR,France,2014FR05SFOP004,2.1,Martinique - ESF,ESF,3,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,59856000,18697098,78553098,76.2
DE,Germany,2014DE05SFOP001,1.1,Schleswig-Holstein  - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,47127660,64574467,111702127,42.19
DE,Germany,2014DE05SFOP001,1.1,Schleswig-Holstein  - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,3551630,8450000,12001630,29.59
IT,Italy,2014IT05SFOP005,2,Lazio  - ESF,ESF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,18050694,18050694,36101388,50
DE,Germany,2014DE05SFOP003,1.3,Baden-Württemberg - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,67458907,67458907,134917814,50
DE,Germany,2014DE05SFOP003,1.3,Baden-Württemberg - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,10386282,10386282,20772564,50
DE,Germany,2014DE05SFOP006,1.3,Brandenburg - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,205920185,51480048,257400233,80
DE,Germany,2014DE05SFOP006,1.3,Brandenburg - ESF,ESF,D,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,14496741,3624186,18120927,80
DE,Germany,2014DE05SFOP007,1.1,Hamburg - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,24766243,24766243,49532486,50
DE,Germany,2014DE05SFOP007,1.1,Hamburg - ESF,ESF,TH,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,3127050,3127050,6254100,50
DE,Germany,2014DE05SFOP008,1.2,Hessen - ESF,ESF,C,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,87299794,87299794,174599588,50
DE,Germany,2014DE05SFOP008,1.2,Hessen - ESF,ESF,TH,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,6888182,6888182,13776364,50
HU,Hungary,2014HU05M2OP001,4,Human Resources Development - HU - ESF/ERDF,ERDF,2.,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,486615891,85873395,572489286,85
HU,Hungary,2014HU05M2OP001,4,Human Resources Development - HU - ESF/ERDF,ESF,1.,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,867012684,153002239,1020014923,85
HU,Hungary,2014HU05M2OP001,4,Human Resources Development - HU - ESF/ERDF,ESF,5.,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,34182889,1799100,35981989,95
DE,Germany,2014DE06RDRN001,1.2,Germany - Rural Network,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,5000000,5000000,10000000,50
IT,Italy,2014IT05SFOP005,2,Lazio  - ESF,ESF,2,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,90250000,90250000,180500000,50
FR,France,2014FR05SFOP005,2,Réunion - ESF,ESF,4,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,16126939,2845931,18972870,85
HU,Hungary,2014HU05M2OP001,4,Human Resources Development - HU - ESF/ERDF,ERDF,4.,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,418200606,73800107,492000713,85
IT,Italy,2014IT05SFOP005,2,Lazio  - ESF,ESF,1,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,182076663,182076663,364153326,50
FR,France,2014FR05SFOP005,2,Réunion - ESF,ESF,2,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,225677000,56419250,282096250,80
FR,France,2014FR05SFOP004,2.1,Martinique - ESF,ESF,2,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,15856000,5285333,21141333,75
FR,France,2014FR05SFOP005,2,Réunion - ESF,ESF,1,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,162294000,40573500,202867500,80
FR,France,2014FR05SFOP005,2,Réunion - ESF,ESF,3,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,97009384,24252346,121261730,80
SK,Slovakia,2014SK05SFOP001,2,Effective Public Administration - SK - ESF,ESF,3,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,384260,384260,768520,50
FR,France,2014FR05SFOP004,2.1,Martinique - ESF,ESF,5,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,4788262,844988,5633250,85
NL,Netherlands,2014NL16RFOP004,3.1,East Netherlands - ERDF,ERDF,2,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,30090688,53996500,84087188,35.79
PL,Poland,2014PL16M2OP008,3.1,Opolskie Voivodeship - ERDF/ESF,ESF,VIII,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,73929483,13046380,86975863,85
SK,Slovakia,2014SK05SFOP001,2,Effective Public Administration - SK - ESF,ESF,1,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,219733033,38776418,258509451,85
FI,Finland,2014FI14MFOP001,2.1,Maritime and Fisheries - Finland,EMFF,,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,VOID,VOID,VOID,VOID,39016985,34154058.25,73171043.25,53.32
FI,Finland,2014FI14MFOP001,2.1,Maritime and Fisheries - Finland,EMFF,,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,2659509,3706948,6366457,41.77
SK,Slovakia,2014SK05SFOP001,2,Effective Public Administration - SK - ESF,ESF,2,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,1353619,1353619,2707238,50
SK,Slovakia,2014SK05SFOP001,2,Effective Public Administration - SK - ESF,ESF,1,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,7725814,7725814,15451628,50
FI,Finland,2014FI14MFOP001,2.1,Maritime and Fisheries - Finland,EMFF,,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,4511567,3949262.66,8460829.66,53.32
SK,Slovakia,2014SK05SFOP001,2,Effective Public Administration - SK - ESF,ESF,3,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,10753711,1897714,12651425,85
SK,Slovakia,2014SK16M1OP001,5.1,Integrated Infrastructure - SK - ERDF/CF,CF,4,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,VOID,VOID,VOID,VOID,VOID,116450000,20550000,137000000,85
SK,Slovakia,2014SK16RFTA001,3.1,Technical Assistance - SK - ERDF,ERDF,2,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,44684262,7885458,52569720,85
SK,Slovakia,2014SK16M1OP001,5.1,Integrated Infrastructure - SK - ERDF/CF,CF,3,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,VOID,VOID,VOID,VOID,VOID,322350000,56885295,379235295,85
SK,Slovakia,2014SK05SFOP001,2,Effective Public Administration - SK - ESF,ESF,2,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,38498847,6793915,45292762,85
